catppuccin-gtk-theme-mocha 1.0.3-1
ccze 0.2.1-13
consolas-font 1.2-2
cursor-bin 3.14.7-1
etcher-bin 2.1.6-1
flac1.3 1.3.4-1
glew1.10 1.10.0-4
gtk2 2.24.33-5
hyprmon-bin 0.0.17-1
lazyssh 0.3.0-1
lib32-glew1.10 1.10.0-6
lib32-gtk2 2.24.33-5
lib32-libappindicator-gtk2 12.10.0.r298-5
lib32-libdbusmenu-gtk2 16.04.0-7
lib32-libgcrypt15 1.5.6-8
lib32-libidn11 1.33-3
lib32-libindicator-gtk2 12.10.1-11
lib32-libjpeg6-turbo 1.5.3-4
lib32-libpng12 1.2.59-4
lib32-librtmp0 2.6-2
lib32-libtiff4 3.9.7-6
lib32-libudev0-shim 2-1
lib32-libvpx1.3 1.3.0-4
lib32-openssl-1.0 1.0.2.u-4
lib32-openssl-1.1 1.1.1.w-5
libdbusmenu-gtk2 16.04.0.r498-3
libgcrypt15 1.5.6-7
libidn11 1.33-3
libindicator-gtk2 12.10.1-11
libpng12 1.2.59-3
librtmp0 2.6-1
libtiff4 3.9.7-8
libudev0-shim 2-2
libvpx1.3 1.3.0-4
localsend-bin 1.17.0-1
networkmanager-fortisslvpn 1.4.0-6
openhue-cli 0.23-1
openssl-1.0 1.0.2.u-7
openssl-1.1 1.1.1.w-11
oracle-instantclient-basic 23.26.2.0.0-1
pyprland 3.4.3-0
python-terminaltexteffects 0.15.0-1
qt5-location 5.15.19+kde+r7-1
qt5-remoteobjects 5.15.19-1
qt5-webchannel 5.15.19-1
qt5-webengine 5.15.19-4
remote-desktop-manager 2026.2.1.4-1
ruby-xdg 9.5.0-1
runelite 1:2.8.0-1
splashtop-business 3.8.0.0-1
sqlcl 26.2.0.181.2110-1
stably-orca-bin 1.4.163-1
steam-native-runtime 1.0.0.75-9
stremio 4.4.183-1
tmuxinator 3.4.1-1
tuxedo-bin 2026.7.1-1
wayscriber 0.9.22-1
wlprop 1:1.0-1
worktrunk-bin 0.71.0-1
yay-debug 12.4.2-1
