age 1.3.1-1
amd-ucode 20260622-1
android-sdk-cmdline-tools-latest 22.0-1
android-sdk-platform-tools 37.0.0-1
android-udev 20260423-1
argocd 3.4.2-1
aspnet-runtime 10.0.10.sdk110-1
aspnet-runtime-8.0 8.0.29.sdk129-1
aspnet-targeting-pack 10.0.10.sdk110-1
aspnet-targeting-pack-8.0 8.0.29.sdk129-1
atuin 18.19.0-1
azure-cli 2.87.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bind 9.20.26-1
bitwarden 2026.3.1-2
blueman 2.4.6-2
bluetui 0.8.1-2
bluez-utils 5.87-2
bolt-launcher 0.23.2-1
bpytop 1.0.68-2
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
broadcom-bt-firmware-git 12.0.1.1105_p5.r0.gf326999-1
btrfs-progs 7.1-1
bun 1.3.14-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.7-1
ccze 0.2.1-13
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
chromium 151.0.7922.108-1
cliphist 1:0.7.0-2
cloc 2.08-1
cloudflared 2026.7.3-1
cmctl 2.5.0-1
consolas-font 1.2-2
cups 2:2.4.19-1
cups-pdf 3.0.3-1
cursor-bin 3.14.7-1
direnv 2.37.1-1
dmidecode 3.7-1
dnsmasq 2.93-1
docker 1:29.7.2-1
docker-buildx 0.36.0-1
docker-compose 5.4.0-1
dotnet-host 10.0.10.sdk110-1
dotnet-runtime 10.0.10.sdk110-1
dotnet-sdk 10.0.10.sdk110-1
dotnet-sdk-8.0 8.0.29.sdk129-1
dust 1.2.4-2
easyeffects 8.2.8-1
efibootmgr 18-4
etcher-bin 2.1.6-1
evtest 1.36-1
eza 0.23.5-2
fastfetch 2.66.0-1
fd 10.4.2-2
figlet 2.2.5-6
firefox 153.0.3-1
fluxcd 2.9.3-1
fnm 1.39.0-1
freerdp 2:3.30.0-1
fzf 0.74.2-1
gamemode 1.8.2-3
gamescope 3.16.25-1
gimp 3.2.4-2
git 2.55.0-1
git-delta 0.19.2-2
git-filter-repo 2.47.0-3
github-cli 2.97.0-1
gnome-calculator 50.0-1
gnome-keyring 1:50.0-1
go-task 3.52.0-1
google-chrome 151.0.7922.71-1
grim 1.5.0-2
grimblast-git r167.3dcbce7-1
grub 2:2.14-1
grub-btrfs 4.14-1
gst-plugin-pipewire 1:1.6.8-1
gtk4 1:4.22.4-1
gum 0.17.0-1
gutenprint 5.3.5-1
helm 4.2.2-1
helmfile 1.5.2-1
hplip 1:3.26.4-1
hyprland 0.56.2-1
hyprlock 0.9.6-1
hyprmon-bin 0.0.17-1
hyprpaper 0.8.4-5
hyprpicker 0.4.7-2
hyprpolkitagent 0.1.3-8
hyprsunset 0.4.0-3
imagemagick 7.1.2.29-1
inetutils 2.8-1
inotify-tools 4.25.9.0-1
iwd 3.12-1
jdk17-openjdk 17.0.20.u8-1
jdk21-openjdk 21.0.12.u8-1
jq 1.8.2-1
just 1.58.0-1
k9s 0.51.0-1
kdeconnect 26.04.3-1
kitty 0.48.2-1
kubeconform 0.7.0-2
kubectl 1.36.3-1
kustomize 5.8.1-1
lazydocker 0.25.2-1
lazygit 0.64.0-1
lazyssh 0.3.0-1
less 1:704-1
libadwaita 1:1.9.3-1
libpulse 17.0+r98+gb096704c0-1
libvirt 1:12.6.0-1
linux 7.1.6.arch1-1
linux-firmware 20260622-1
linux-headers 7.1.6.arch1-1
localsend-bin 1.17.0-1
lutris 0.5.22-2
maven 3.9.16-1
mise 2026.7.17-1
mkcert 1.4.4-3
nano 9.1-1
neovim 0.12.4-1
netstandard-targeting-pack 1:2.1.0-2
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
networkmanager-fortisslvpn 1.4.0-6
networkmanager-openconnect 1.2.10-4
noctalia-qs 0.0.12-1.4
noctalia-shell 4.7.7-3
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nwg-displays 0.4.3-1
nwg-look 1.1.1-3
obsidian 1.13.4-2
onefetch 2.27.1-1
onlyoffice-bin 9.4.0-1
opencode-bin 1.18.11-1
openhue-cli 0.23-1
oracle-instantclient-basic 23.26.2.0.0-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
pgcli 4.5.0-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
playwright 1.61.0-1
pyprland 3.4.3-0
python-gobject 3.56.3-1
python-pyjwt 2.13.0-1
python-terminaltexteffects 0.15.0-1
qemu-full 11.0.3-1
qemu-system-x86 11.0.3-1
qemu-system-x86-firmware 11.0.3-1
qrencode 4.1.1-4
qt5-graphicaleffects 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-wayland 5.15.19+kde+r55-1
qt6-wayland 6.11.1-1
radeontop 1.4-3
remote-desktop-manager 2026.2.1.4-1
rsync 3.4.4-1
runelite 1:2.8.0-1
rust 1:1.97.1-1
satty 0.21.1-1
scrcpy 4.1-1
sddm 0.21.0-7
shotwell 2:0.32.17-1
simple-scan 50.0-1
slurp 1.5.0-2
smartmontools 7.5-1
socat 1.8.1.3-1
solaar 1.1.20-2
sops 3.13.3-1
speech-dispatcher 0.12.1-3
splashtop-business 3.8.0.0-1
spotify 1:1.2.92.147-1
sqlcl 26.2.0.181.2110-1
sshfs 3.7.6-1
stably-orca-bin 1.4.163-1
starship 1.26.0-1
steam 1.0.0.87-1
steam-native-runtime 1.0.0.75-9
stow 2.4.1-1
stremio 4.4.183-1
swtpm 0.10.1-2
syncthing 2.1.3-1
tailscale 1.98.10-1
